Código,Data da venda,Prazo (dias),Preço_Venda,Volume_Venda,Código_Cliente,Código_Produto,Código_Cidade,Código_Vendedor
1,1/1/2011,60,2.66,9220,1,1,1,1
2,1/2/2011,45,7.04,8691,2,2,2,2
3,1/3/2011,45,7.04,694,3,2,3,3
4,1/4/2011,60,7.04,5135,4,3,3,2
5,1/5/2011,45,7.04,5940,3,3,2,3
6,1/6/2011,30,7.04,9020,2,3,1,3
7,1/7/2011,45,7.04,1638,3,2,4,3
8,1/8/2011,45,9.6,9661,4,4,3,4
9,1/9/2011,30,2.6,3252,3,1,2,1
10,1/10/2011,45,4.02,6752,2,3,4,1
11,1/11/2011,30,2.6,1867,3,1,2,2
12,1/12/2011,30,4.02,3086,4,3,3,2
13,1/13/2011,45,7.04,244,3,2,1,1
14,1/14/2011,45,4.02,1195,2,5,2,1
15,1/15/2011,30,5.56,3557,3,6,3,2
16,1/16/2011,45,4.02,8652,4,5,2,1
17,1/17/2011,45,5.56,6031,3,3,1,1
18,1/18/2011,45,2.77,6467,2,7,2,1
19,1/19/2011,60,9.6,4740,3,4,1,4
20,1/20/2011,45,4.02,1942,4,5,4,1
21,1/21/2011,60,2.77,9667,3,7,2,1
22,1/22/2011,45,2.77,6896,2,8,2,1
23,1/23/2011,60,2.6,8574,3,8,1,1
24,1/24/2011,30,2.6,5288,4,1,2,1
25,1/25/2011,45,7.04,1852,3,2,1,3
26,1/26/2011,45,5.56,3989,2,8,2,2
27,1/27/2011,45,2.6,953,3,1,3,3
28,1/28/2011,60,2.6,931,4,1,2,1
29,1/29/2011,45,2.77,1946,3,7,2,2
30,1/30/2011,45,2.6,5548,2,1,2,1
31,1/31/2011,60,7.04,6062,3,2,2,1
32,2/1/2011,45,2.6,6247,4,1,2,1
33,2/2/2011,60,2.6,6804,3,1,1,1
34,2/3/2011,60,2.77,1657,2,7,2,1
35,2/4/2011,60,2.6,34,3,1,4,1
36,2/5/2011,60,4.02,4167,4,3,2,5
37,2/6/2011,45,7.04,9538,3,2,2,1
38,2/7/2011,45,4.02,1457,2,5,2,1
39,2/8/2011,45,5.56,6467,3,6,2,1
40,2/9/2011,30,4.02,3103,4,5,1,1
41,2/10/2011,45,5.56,8168,3,6,2,1
42,2/11/2011,30,2.77,6445,2,7,2,1
43,2/12/2011,30,9.6,9923,3,8,3,1
44,2/13/2011,30,2.6,9821,4,1,3,1
45,2/14/2011,30,4.02,8084,3,5,2,1
46,2/15/2011,30,7.04,6903,2,2,1,1
47,2/16/2011,45,4.02,1117,3,5,2,3
48,2/17/2011,45,5.56,2861,4,6,2,2
49,2/18/2011,45,4.02,3258,3,5,2,1
50,2/19/2011,45,5.56,4925,2,3,2,1
51,2/20/2011,45,2.77,3574,3,7,2,2
52,2/21/2011,45,9.6,2562,4,8,4,3
53,2/22/2011,60,4.02,8858,3,5,2,1
54,2/23/2011,45,2.77,2577,2,3,1,1
55,2/24/2011,60,2.77,2544,3,7,1,1
56,2/25/2011,45,2.77,7383,4,3,2,3
57,2/26/2011,60,9.6,8126,3,4,2,1
58,2/27/2011,45,5.56,3215,2,6,2,1
59,2/28/2011,45,4.02,6627,3,3,3,1
60,3/1/2011,45,5.56,3716,4,6,3,1
61,3/2/2011,30,2.77,3742,3,7,2,1
62,3/3/2011,45,5.56,881,2,6,2,1
63,3/4/2011,45,4.02,2002,3,5,3,1
64,3/5/2011,30,5.56,4206,4,3,3,1
65,3/6/2011,45,2.77,9885,3,7,2,1
66,3/7/2011,45,9.6,2429,2,4,1,1
67,3/8/2011,30,4.02,5422,3,5,3,4
68,3/9/2011,45,2.77,4988,4,7,2,1
69,3/10/2011,45,9.6,1118,3,4,2,1
70,3/11/2011,30,2.77,4745,2,3,1,2
71,3/12/2011,30,2.77,2385,3,7,2,1
72,3/13/2011,45,5.56,424,4,6,1,1
73,3/14/2011,30,2.77,4071,3,7,1,2
74,3/15/2011,45,9.6,4014,2,4,2,1
75,3/16/2011,45,4.02,6184,3,5,2,1
76,3/17/2011,60,2.77,3017,4,7,1,1
77,3/18/2011,45,4.02,8005,3,5,2,1
78,3/19/2011,45,2.77,5391,2,7,1,1
79,3/20/2011,60,2.77,5786,3,3,1,1
80,3/21/2011,45,7.04,4907,3,2,1,3
81,3/22/2011,60,5.56,1912,2,8,2,2
82,3/23/2011,60,2.6,4508,3,1,3,3
83,3/24/2011,45,2.6,8732,4,1,2,1
84,3/25/2011,45,2.77,1879,3,3,2,2
85,3/26/2011,60,2.6,1340,2,8,2,1
86,3/27/2011,45,7.04,7572,3,2,2,1
87,3/28/2011,45,2.6,1948,3,1,2,2
88,3/29/2011,60,4.02,8054,4,3,3,2
89,3/30/2011,45,7.04,6836,3,2,1,1
90,3/31/2011,45,4.02,4079,2,5,2,1
91,4/1/2011,60,5.56,4548,3,6,3,2
92,4/2/2011,45,4.02,4649,4,3,2,1
93,4/3/2011,30,5.56,9247,3,6,1,1
94,4/4/2011,45,7.04,2733,3,2,2,3
95,4/5/2011,45,7.04,2338,2,2,1,3
96,4/6/2011,30,7.04,3270,3,2,4,3
97,4/7/2011,45,9.6,9749,4,4,3,4
98,4/8/2011,30,2.6,3764,3,1,2,1
99,4/9/2011,45,4.02,9018,2,5,4,1
100,4/10/2011,45,2.6,2307,3,1,2,2
101,4/11/2011,60,4.02,4391,4,8,3,2
102,4/12/2011,45,7.04,3059,3,2,1,1
103,4/13/2011,45,4.02,2472,2,5,2,1
104,4/14/2011,60,5.56,3250,3,6,3,2
105,4/15/2011,45,4.02,222,4,3,2,1
106,4/16/2011,45,5.56,9919,3,3,1,1
107,4/17/2011,45,2.77,7664,2,7,2,1
108,4/18/2011,30,4.02,7281,2,3,4,1
109,4/19/2011,45,2.6,4167,3,1,2,2
110,4/20/2011,45,4.02,7793,4,3,3,2
111,4/21/2011,60,7.04,8213,3,2,1,1
112,4/22/2011,45,4.02,7102,2,5,2,1
113,4/23/2011,60,2.6,5905,3,1,2,1
114,4/24/2011,45,4.02,1085,2,5,4,1
115,4/25/2011,45,2.6,4551,3,1,2,2
116,4/26/2011,60,2.66,7430,1,1,1,1
117,4/27/2011,45,7.04,2109,2,2,2,2
118,4/28/2011,45,7.04,1262,3,2,3,3
119,4/29/2011,60,7.04,8114,4,3,3,2
120,4/30/2011,45,7.04,9815,3,3,2,3
121,5/1/2011,30,7.04,6505,2,3,1,3
122,5/2/2011,45,7.04,596,3,2,4,3
123,5/3/2011,45,9.6,8816,4,4,3,4
124,5/4/2011,30,2.6,2033,3,1,2,1
125,5/5/2011,45,4.02,6688,2,3,4,1
126,5/6/2011,30,2.6,5214,3,1,2,2
127,5/7/2011,30,4.02,950,4,3,3,2
128,5/8/2011,45,7.04,942,3,2,1,1
129,5/9/2011,45,4.02,474,2,5,2,1
130,5/10/2011,30,5.56,879,3,6,3,2
131,5/11/2011,45,4.02,48,4,5,2,1
132,5/12/2011,45,5.56,7732,3,3,1,1
133,5/13/2011,45,2.77,6130,2,7,2,1
134,5/14/2011,60,9.6,6028,3,4,1,4
135,5/15/2011,45,4.02,3716,4,5,4,1
136,5/16/2011,60,2.77,9253,3,7,2,1
137,5/17/2011,45,2.77,1442,2,8,2,1
